
Host: Moein-Helix

Timers On : Thu Jun 13 09:08:06 2019
Timers Off: Thu Jun 13 10:41:23 2019

Wall Time:     5597.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.018w     40 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.021w     40 calls
DFMP2 Energy                        :      0.000u      0.000s      0.379w     40 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.010w     80 calls
Total PK formation time             :      0.000u      0.000s     17.570w     40 calls
ccenergy                            :      0.000u      0.000s    190.099w     40 calls
| F build                           :      0.000u      0.000s      2.652w    424 calls
| Wmbej build                       :      0.000u      0.000s      6.018w    424 calls
| | C->Wmbej                        :      0.000u      0.000s      0.406w    424 calls
| | F->Wmbej                        :      0.000u      0.000s      3.933w    424 calls
| | E->Wmbej                        :      0.000u      0.000s      0.596w    424 calls
| | X->Wmbej                        :      0.000u      0.000s      0.831w    424 calls
| Z                                 :      0.000u      0.000s      0.664w    424 calls
| T2 Build                          :      0.000u      0.000s     16.352w    424 calls
| | BT2                             :      0.000u      0.000s      9.950w    424 calls
| | | ABCD:new                      :      0.000u      0.000s      9.950w    424 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.402w    424 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.384w    424 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      8.541w    424 calls
| | FT2                             :      0.000u      0.000s      0.579w    424 calls
| | WmbejT2                         :      0.000u      0.000s      1.754w    424 calls
| | CT2                             :      0.000u      0.000s      2.364w    424 calls

**************************************************************************************
